Barking and Dagenham,E09000002,28/09/2020,18,1257
Barnet,E09000003,28/09/2020,29,2378
Bexley,E09000004,28/09/2020,19,1386
Brent,E09000005,28/09/2020,33,2380
Bromley,E09000006,28/09/2020,17,1918
Camden,E09000007,28/09/2020,16,1093
Croydon,E09000008,28/09/2020,28,2353
Ealing,E09000009,28/09/2020,45,2331
Enfield,E09000010,28/09/2020,34,1810
Greenwich,E09000011,28/09/2020,18,1340
Hackney and City of London,E09000012,28/09/2020,33,1600
Hammersmith and Fulham,E09000013,28/09/2020,18,1175
Haringey,E09000014,28/09/2020,36,1293
Harrow,E09000015,28/09/2020,32,1801
Havering,E09000016,28/09/2020,26,1543
Hillingdon,E09000017,28/09/2020,22,1750
Hounslow,E09000018,28/09/2020,14,1736
Islington,E09000019,28/09/2020,31,957
Kensington and Chelsea,E09000020,28/09/2020,11,872
Kingston upon Thames,E09000021,28/09/2020,14,1008
Lambeth,E09000022,28/09/2020,28,1981
Lewisham,E09000023,28/09/2020,28,1655
Merton,E09000024,28/09/2020,13,1199
Newham,E09000025,28/09/2020,40,2108
Redbridge,E09000026,28/09/2020,36,1978
Richmond upon Thames,E09000027,28/09/2020,16,862
Southwark,E09000028,28/09/2020,30,2048
Sutton,E09000029,28/09/2020,7,1229
Tower Hamlets,E09000030,28/09/2020,31,1545
Waltham Forest,E09000031,28/09/2020,24,1546
Wandsworth,E09000032,28/09/2020,23,1816
Westminster,E09000033,28/09/2020,21,1220
Barking and Dagenham,E09000002,29/09/2020,17,1274
Barnet,E09000003,29/09/2020,39,2417
Bexley,E09000004,29/09/2020,19,1405
Brent,E09000005,29/09/2020,27,2407
Bromley,E09000006,29/09/2020,24,1942
Camden,E09000007,29/09/2020,11,1104
Croydon,E09000008,29/09/2020,28,2381
Ealing,E09000009,29/09/2020,42,2373
Enfield,E09000010,29/09/2020,36,1846
Greenwich,E09000011,29/09/2020,19,1359
Hackney and City of London,E09000012,29/09/2020,33,1633
Hammersmith and Fulham,E09000013,29/09/2020,13,1188
Haringey,E09000014,29/09/2020,31,1324
Harrow,E09000015,29/09/2020,27,1828
Havering,E09000016,29/09/2020,16,1559
Hillingdon,E09000017,29/09/2020,26,1776
Hounslow,E09000018,29/09/2020,26,1762
Islington,E09000019,29/09/2020,17,974
Kensington and Chelsea,E09000020,29/09/2020,17,889
Kingston upon Thames,E09000021,29/09/2020,9,1017
Lambeth,E09000022,29/09/2020,33,2014
Lewisham,E09000023,29/09/2020,17,1672
Merton,E09000024,29/09/2020,5,1204
Newham,E09000025,29/09/2020,32,2140
Redbridge,E09000026,29/09/2020,44,2022
Richmond upon Thames,E09000027,29/09/2020,29,891
Southwark,E09000028,29/09/2020,20,2068
Sutton,E09000029,29/09/2020,11,1240
Tower Hamlets,E09000030,29/09/2020,30,1575
Waltham Forest,E09000031,29/09/2020,20,1566
Wandsworth,E09000032,29/09/2020,25,1841
Westminster,E09000033,29/09/2020,24,1244
Barking and Dagenham,E09000002,30/09/2020,26,1300
Barnet,E09000003,30/09/2020,59,2476
Bexley,E09000004,30/09/2020,14,1419
Brent,E09000005,30/09/2020,44,2451
Bromley,E09000006,30/09/2020,37,1979
Camden,E09000007,30/09/2020,28,1132
Croydon,E09000008,30/09/2020,56,2437
Ealing,E09000009,30/09/2020,30,2403
Enfield,E09000010,30/09/2020,33,1879
Greenwich,E09000011,30/09/2020,20,1379
Hackney and City of London,E09000012,30/09/2020,53,1686
Hammersmith and Fulham,E09000013,30/09/2020,25,1213
Haringey,E09000014,30/09/2020,46,1370
Harrow,E09000015,30/09/2020,26,1854
Havering,E09000016,30/09/2020,28,1587
Hillingdon,E09000017,30/09/2020,25,1801
Hounslow,E09000018,30/09/2020,34,1796
Islington,E09000019,30/09/2020,42,1016
Kensington and Chelsea,E09000020,30/09/2020,22,911
Kingston upon Thames,E09000021,30/09/2020,17,1034
Lambeth,E09000022,30/09/2020,47,2061
Lewisham,E09000023,30/09/2020,32,1704
Merton,E09000024,30/09/2020,18,1222
Newham,E09000025,30/09/2020,22,2162
Redbridge,E09000026,30/09/2020,59,2081
Richmond upon Thames,E09000027,30/09/2020,30,921
Southwark,E09000028,30/09/2020,33,2101
Sutton,E09000029,30/09/2020,11,1251
Tower Hamlets,E09000030,30/09/2020,45,1620
Waltham Forest,E09000031,30/09/2020,40,1606
Wandsworth,E09000032,30/09/2020,53,1894
Westminster,E09000033,30/09/2020,30,1274
Barking and Dagenham,E09000002,01/10/2020,21,1321
Barnet,E09000003,01/10/2020,71,2547
Bexley,E09000004,01/10/2020,37,1456
Brent,E09000005,01/10/2020,54,2505
Bromley,E09000006,01/10/2020,23,2002
Camden,E09000007,01/10/2020,25,1157
Croydon,E09000008,01/10/2020,36,2473
Ealing,E09000009,01/10/2020,65,2468
Enfield,E09000010,01/10/2020,39,1918
Greenwich,E09000011,01/10/2020,23,1402
Hackney and City of London,E09000012,01/10/2020,50,1736
Hammersmith and Fulham,E09000013,01/10/2020,25,1238
Haringey,E09000014,01/10/2020,35,1405
Harrow,E09000015,01/10/2020,46,1900
Havering,E09000016,01/10/2020,18,1605
Hillingdon,E09000017,01/10/2020,57,1858
Hounslow,E09000018,01/10/2020,41,1837
Islington,E09000019,01/10/2020,26,1042
Kensington and Chelsea,E09000020,01/10/2020,17,928
Kingston upon Thames,E09000021,01/10/2020,23,1057
Lambeth,E09000022,01/10/2020,41,2102
Lewisham,E09000023,01/10/2020,43,1747
Merton,E09000024,01/10/2020,11,1233
Newham,E09000025,01/10/2020,47,2209
Redbridge,E09000026,01/10/2020,58,2139
Richmond upon Thames,E09000027,01/10/2020,41,962
Southwark,E09000028,01/10/2020,31,2132
Sutton,E09000029,01/10/2020,14,1265
Tower Hamlets,E09000030,01/10/2020,46,1666
Waltham Forest,E09000031,01/10/2020,29,1635
Wandsworth,E09000032,01/10/2020,32,1926
Westminster,E09000033,01/10/2020,23,1297
Barking and Dagenham,E09000002,02/10/2020,15,1336
Barnet,E09000003,02/10/2020,60,2607
Bexley,E09000004,02/10/2020,19,1475
Brent,E09000005,02/10/2020,49,2554
Bromley,E09000006,02/10/2020,21,2023
Camden,E09000007,02/10/2020,26,1183
Croydon,E09000008,02/10/2020,46,2519
Ealing,E09000009,02/10/2020,36,2504
Enfield,E09000010,02/10/2020,38,1956
Greenwich,E09000011,02/10/2020,33,1435
Hackney and City of London,E09000012,02/10/2020,64,1800
Hammersmith and Fulham,E09000013,02/10/2020,20,1258
Haringey,E09000014,02/10/2020,30,1435
Harrow,E09000015,02/10/2020,46,1946
Havering,E09000016,02/10/2020,30,1635
Hillingdon,E09000017,02/10/2020,40,1898
Hounslow,E09000018,02/10/2020,42,1879
Islington,E09000019,02/10/2020,25,1067
Kensington and Chelsea,E09000020,02/10/2020,25,953
Kingston upon Thames,E09000021,02/10/2020,26,1083
Lambeth,E09000022,02/10/2020,37,2139
Lewisham,E09000023,02/10/2020,29,1776
Merton,E09000024,02/10/2020,19,1252
Newham,E09000025,02/10/2020,52,2261
Redbridge,E09000026,02/10/2020,47,2186
Richmond upon Thames,E09000027,02/10/2020,42,1004
Southwark,E09000028,02/10/2020,39,2171
Sutton,E09000029,02/10/2020,17,1282
Tower Hamlets,E09000030,02/10/2020,50,1716
Waltham Forest,E09000031,02/10/2020,42,1677
Wandsworth,E09000032,02/10/2020,38,1964
Westminster,E09000033,02/10/2020,30,1327
Barking and Dagenham,E09000002,03/10/2020,19,1355
Barnet,E09000003,03/10/2020,34,2641
Bexley,E09000004,03/10/2020,15,1490
Brent,E09000005,03/10/2020,25,2579
Bromley,E09000006,03/10/2020,23,2046
Camden,E09000007,03/10/2020,18,1201
Croydon,E09000008,03/10/2020,28,2547
Ealing,E09000009,03/10/2020,48,2552
Enfield,E09000010,03/10/2020,33,1989
Greenwich,E09000011,03/10/2020,17,1452
Hackney and City of London,E09000012,03/10/2020,29,1829
Hammersmith and Fulham,E09000013,03/10/2020,20,1278
Haringey,E09000014,03/10/2020,25,1460
Harrow,E09000015,03/10/2020,31,1977
Havering,E09000016,03/10/2020,26,1661
Hillingdon,E09000017,03/10/2020,23,1921
Hounslow,E09000018,03/10/2020,24,1903
Islington,E09000019,03/10/2020,22,1089
Kensington and Chelsea,E09000020,03/10/2020,21,974
Kingston upon Thames,E09000021,03/10/2020,25,1108
Lambeth,E09000022,03/10/2020,30,2169
Lewisham,E09000023,03/10/2020,22,1798
Merton,E09000024,03/10/2020,14,1266
Newham,E09000025,03/10/2020,26,2287
Redbridge,E09000026,03/10/2020,51,2237
Richmond upon Thames,E09000027,03/10/2020,26,1030
Southwark,E09000028,03/10/2020,15,2186
Sutton,E09000029,03/10/2020,10,1292
Tower Hamlets,E09000030,03/10/2020,41,1757
Waltham Forest,E09000031,03/10/2020,31,1708
Wandsworth,E09000032,03/10/2020,38,2002
Westminster,E09000033,03/10/2020,30,1357
Barking and Dagenham,E09000002,04/10/2020,19,1374
Barnet,E09000003,04/10/2020,46,2687
Bexley,E09000004,04/10/2020,16,1506
Brent,E09000005,04/10/2020,30,2609
Bromley,E09000006,04/10/2020,40,2086
Camden,E09000007,04/10/2020,20,1221
Croydon,E09000008,04/10/2020,31,2578
Ealing,E09000009,04/10/2020,69,2621
Enfield,E09000010,04/10/2020,29,2018
Greenwich,E09000011,04/10/2020,15,1467
Hackney and City of London,E09000012,04/10/2020,31,1860
Hammersmith and Fulham,E09000013,04/10/2020,16,1294
Haringey,E09000014,04/10/2020,34,1494
Harrow,E09000015,04/10/2020,30,2007
Havering,E09000016,04/10/2020,14,1675
Hillingdon,E09000017,04/10/2020,35,1956
Hounslow,E09000018,04/10/2020,41,1944
Islington,E09000019,04/10/2020,23,1112
Kensington and Chelsea,E09000020,04/10/2020,12,986
Kingston upon Thames,E09000021,04/10/2020,14,1122
Lambeth,E09000022,04/10/2020,31,2200
Lewisham,E09000023,04/10/2020,24,1822
Merton,E09000024,04/10/2020,15,1281
Newham,E09000025,04/10/2020,43,2330
Redbridge,E09000026,04/10/2020,41,2278
Richmond upon Thames,E09000027,04/10/2020,30,1060
Southwark,E09000028,04/10/2020,21,2207
Sutton,E09000029,04/10/2020,6,1298
Tower Hamlets,E09000030,04/10/2020,34,1791
Waltham Forest,E09000031,04/10/2020,29,1737
Wandsworth,E09000032,04/10/2020,27,2029
Westminster,E09000033,04/10/2020,24,1381
