Name,FIPS,"Median Household Income, 2020 [Estimated]","CBP: Average household income ($), 2020","Average CBP: Aggregate household income ($), 2020"
"10001, New York, NY",10001,88726.765507077,174882,168560.6914
"10002, New York, NY",10002,36528.70048599,77864,77619.3743
"10003, New York, NY",10003,111096.9723191,183771,159734.7081
"10004, New York, NY",10004,154770.49947494,228732,228732
"10005, New York, NY",10005,172478.01354738,204623,203546.2257
"10006, New York, NY",10006,170669.8423283,240162,240162
"10007, New York, NY",10007,239390.2,310110,306025.6537
"10009, New York, NY",10009,61473.648243885,110995,110995
"10010, New York, NY",10010,120352.87619845,191709,177016.2161
"10011, New York, NY",10011,130343.20919214,199220,195550.4845
"10012, New York, NY",10012,109572.58734851,172781,165231.603
"10013, New York, NY",10013,108221.38328636,222664,213391.3684
"10014, New York, NY",10014,130829.70567053,205487,203887.6159
"10016, New York, NY",10016,115240.28447969,170865,167618.7992
"10017, New York, NY",10017,127204.40395985,184014,184014
"10018, New York, NY",10018,110309.56156563,180459,175579.7905
"10019, New York, NY",10019,100631.24015433,163954,163564.6459
"10020, New York, NY",10020,,151061,151061
"10021, New York, NY",10021,123249.54375735,218964,215891.0879
"10022, New York, NY",10022,137983.88057818,228545,225795.9716
"10023, New York, NY",10023,130540.06919553,206981,202628.0639
"10024, New York, NY",10024,133096.46770702,214875,214378.7859
"10025, New York, NY",10025,87375.14819946,154580,148495.1884
"10026, New York, NY",10026,59113.881229047,103536,103536
"10027, New York, NY",10027,47026.950145351,86411,75620.8181
"10028, New York, NY",10028,123576.67237564,198068,198021.1551
"10029, New York, NY",10029,34530.372037574,71521,70306.0989
"10030, New York, NY",10030,37464.851451109,72703,72703
"10031, New York, NY",10031,49272.422416613,73772,73772
"10032, New York, NY",10032,49138.36662807,67862,67220.4835
"10033, New York, NY",10033,58175.891845214,83236,81802.8794
"10034, New York, NY",10034,55023.327021247,75877,75877
"10035, New York, NY",10035,29608.709995798,56359,56359
"10036, New York, NY",10036,97529.246317596,154305,154305
"10037, New York, NY",10037,44417.328355542,64247,64247
"10038, New York, NY",10038,88634.424495385,162528,152020.8201
"10039, New York, NY",10039,38190.01016989,57259,57259
"10040, New York, NY",10040,47204.921909314,71345,71189.9941
"10044, New York, NY",10044,97829.021273771,148896,148896
"10065, New York, NY",10065,129339.86137385,217820,217258.9348
"10069, New York, NY",10069,112289.27401447,198252,198252
"10075, New York, NY",10075,139037.22110411,203358,203358
"10103, New York, NY",10103,,,
"10110, New York, NY",10110,,,
"10111, New York, NY",10111,,,
"10112, New York, NY",10112,,,
"10115, New York, NY",10115,,,
"10119, New York, NY",10119,,,
"10128, New York, NY",10128,115302.03192674,192427,191219.8349
"10152, New York, NY",10152,,,
"10153, New York, NY",10153,,,
"10154, New York, NY",10154,,,
"10162, New York, NY",10162,180847.13937122,,
"10165, New York, NY",10165,,,
"10167, New York, NY",10167,,,
"10168, New York, NY",10168,,207900,207900
"10169, New York, NY",10169,,,
"10170, New York, NY",10170,,,
"10171, New York, NY",10171,,,
"10172, New York, NY",10172,,,
"10173, New York, NY",10173,,,
"10174, New York, NY",10174,,,
"10177, New York, NY",10177,,,
"10199, New York, NY",10199,,,
"10271, New York, NY",10271,,,
"10278, New York, NY",10278,,,
"10279, New York, NY",10279,,,
"10280, New York, NY",10280,169828.4464664,242468,242468
"10282, New York, NY",10282,,323166,323166
"10301, Staten Island, NY",10301,54075.323546028,103901,100842.4738
"10302, Staten Island, NY",10302,64221.339828203,92284,92284
"10303, Staten Island, NY",10303,62975.318195553,80826,80826
"10304, Staten Island, NY",10304,52804.086770267,101115,99840.0878
"10305, Staten Island, NY",10305,77480.475642306,104348,104348
"10306, Staten Island, NY",10306,79886.570052672,117067,117067
"10307, Staten Island, NY",10307,77778,151079,151079
"10308, Staten Island, NY",10308,94284.619753309,128725,128725
"10309, Staten Island, NY",10309,104786.92300286,141062,141062
"10310, Staten Island, NY",10310,72688.041966359,103525,103525
"10311, Staten Island, NY",10311,,,
"10312, Staten Island, NY",10312,94526.64626399,130811,130811
"10314, Staten Island, NY",10314,85285.145617695,120703,120703
"10451, Bronx, NY",10451,28371.455025592,46256,46256
"10452, Bronx, NY",10452,28351.480939052,44540,44540
"10453, Bronx, NY",10453,25024.398511014,41542,41542
"10454, Bronx, NY",10454,21959.056815471,38759,38759
"10455, Bronx, NY",10455,26827.250044093,46161,46161
"10456, Bronx, NY",10456,27928.097097498,44395,44395
"10457, Bronx, NY",10457,27756.646556257,43973,43973
"10458, Bronx, NY",10458,35073.085623121,49400,47483.5982
"10459, Bronx, NY",10459,27579.296637133,43237,43237
"10460, Bronx, NY",10460,27033.488091836,45851,45851
"10461, Bronx, NY",10461,57476.311383694,81750,79862.8508
"10462, Bronx, NY",10462,52688.429045021,69216,69216
"10463, Bronx, NY",10463,59278.9723211,92833,92315.7325
"10464, Bronx, NY",10464,93400.073278293,120015,120015
"10465, Bronx, NY",10465,76007.906776187,105688,101910.1266
"10466, Bronx, NY",10466,52184.024182443,77947,77947
"10467, Bronx, NY",10467,36507.862500186,55437,55437
"10468, Bronx, NY",10468,36269.581328033,54118,54118
"10469, Bronx, NY",10469,63274.428355175,86123,86123
"10470, Bronx, NY",10470,56754.463594117,84850,84850
"10471, Bronx, NY",10471,86438.818549668,118171,110002.911
"10472, Bronx, NY",10472,30953.012998585,51219,51219
"10473, Bronx, NY",10473,41099.775197836,63909,63909
"10474, Bronx, NY",10474,25569.410114308,43348,43348
"10475, Bronx, NY",10475,50673.584204052,67817,67817
"11001, Floral Park, NY",11001,108186.01582864,150317,150317
"11004, Glen Oaks, NY",11004,95898.669950385,124274,124274
"11005, Floral Park, NY",11005,58016.2,93052,93052
"11040, New Hyde Park, NY",11040,124938.75523398,175962,175962
"11101, Long Island City, NY",11101,64762.223228495,136279,136279
"11102, Astoria, NY",11102,65199.208072606,101768,101768
"11103, Astoria, NY",11103,71153.106201836,98741,98578.1675
"11104, Sunnyside, NY",11104,63051.188596367,99740,99740
"11105, Astoria, NY",11105,73406.836077057,106912,106912
"11106, Astoria, NY",11106,64323.272721674,95897,95897
"11109, Long Island City, NY",11109,146918.56792262,212760,212760
"11201, Brooklyn, NY",11201,126044.67068333,204236,195871.9199
"11203, Brooklyn, NY",11203,50636.61001078,78000,77759.0054
"11204, Brooklyn, NY",11204,49480.28962542,84523,84523
"11205, Brooklyn, NY",11205,55766.000819436,104537,100477.8852
"11206, Brooklyn, NY",11206,36242.493301651,75270,75270
"11207, Brooklyn, NY",11207,37382.632181993,62285,62285
"11208, Brooklyn, NY",11208,41445.810205544,68055,68055
"11209, Brooklyn, NY",11209,73330.531528584,120133,120133
"11210, Brooklyn, NY",11210,65957.236549958,101953,101953
"11211, Brooklyn, NY",11211,72594.853453372,123824,123824
"11212, Brooklyn, NY",11212,25706.282617621,48654,48654
"11213, Brooklyn, NY",11213,42537.809344504,68077,67646.6168
"11214, Brooklyn, NY",11214,55690.568367251,90367,90367
"11215, Brooklyn, NY",11215,124851.89230504,196823,196589.0132
"11216, Brooklyn, NY",11216,61788.15695985,97077,97077
"11217, Brooklyn, NY",11217,107959.9213727,180587,180375.7165
"11218, Brooklyn, NY",11218,69886.839749204,106463,106345.0366
"11219, Brooklyn, NY",11219,39292.582921618,70224,70224
"11220, Brooklyn, NY",11220,46590.259637584,77319,77319
"11221, Brooklyn, NY",11221,50626.430964686,81480,81480
"11222, Brooklyn, NY",11222,85252.472534094,127368,127368
"11223, Brooklyn, NY",11223,50097.837340615,89057,89057
"11224, Brooklyn, NY",11224,33980.310759107,64956,64956
"11225, Brooklyn, NY",11225,56379.534123503,87957,87957
"11226, Brooklyn, NY",11226,52080.897498577,80446,80382.8111
"11228, Brooklyn, NY",11228,66978.303264454,109031,109031
"11229, Brooklyn, NY",11229,61776.982973871,101243,101243
"11230, Brooklyn, NY",11230,49246.974778973,93544,93539.0908
"11231, Brooklyn, NY",11231,99580.696976599,171461,171461
"11232, Brooklyn, NY",11232,57450.624200534,91301,91301
"11233, Brooklyn, NY",11233,39602.761137147,70294,70294
"11234, Brooklyn, NY",11234,83373.01742793,121911,121911
"11235, Brooklyn, NY",11235,53018.690407301,90511,90511
"11236, Brooklyn, NY",11236,67112.642243147,94668,94668
"11237, Brooklyn, NY",11237,52999.048279425,85148,85148
"11238, Brooklyn, NY",11238,85502.134535324,136754,136754
"11239, Brooklyn, NY",11239,25658.4,46905,46905
"11351, Flushing, NY",11351,,,
"11354, Flushing, NY",11354,42320.608178989,73932,73932
"11355, Flushing, NY",11355,38155.10101953,66528,66528
"11356, College Point, NY",11356,60397.477037051,91899,91899
"11357, Whitestone, NY",11357,84172.824908363,117690,117690
"11358, Flushing, NY",11358,65506.647435759,107795,107795
"11359, Bayside, NY",11359,,151667,151667
"11360, Bayside, NY",11360,86789.399309043,126612,126612
"11361, Bayside, NY",11361,85986.559696095,121607,121607
"11362, Little Neck, NY",11362,87523.426170234,115590,115353.9525
"11363, Little Neck, NY",11363,103313.50310448,144333,144333
"11364, Oakland Gardens, NY",11364,75242.919409592,108668,108668
"11365, Fresh Meadows, NY",11365,66644.052448287,98392,98392
"11366, Fresh Meadows, NY",11366,77391.2,118893,118530.6791
"11367, Flushing, NY",11367,59402.29598316,92492,90194.3594
"11368, Corona, NY",11368,50394.748126876,71146,71146
"11369, East Elmhurst, NY",11369,53578.8,80631,80238.0432
"11370, East Elmhurst, NY",11370,64194.644930111,96313,96313
"11371, Flushing, NY",11371,,0,0
"11372, Jackson Heights, NY",11372,57516.789477343,86916,86916
"11373, Elmhurst, NY",11373,50510.847236223,78502,78502
"11374, Rego Park, NY",11374,62720.643499305,96190,96190
"11375, Forest Hills, NY",11375,80044.564313417,120165,120165
"11377, Woodside, NY",11377,57298.030694047,85330,85330
"11378, Maspeth, NY",11378,74070.998584768,102141,102141
"11379, Middle Village, NY",11379,83408.319844421,112695,112695
"11385, Ridgewood, NY",11385,72181.334910121,94355,94355
"11411, Cambria Heights, NY",11411,92719.356845905,123848,123848
"11412, Saint Albans, NY",11412,78222.41338911,106197,106197
"11413, Springfield Gardens, NY",11413,85894.764012702,114804,114804
"11414, Howard Beach, NY",11414,72790.703071522,110126,110126
"11415, Kew Gardens, NY",11415,67760.197737617,102687,102687
"11416, Ozone Park, NY",11416,66083.691726677,90515,90515
"11417, Ozone Park, NY",11417,74225.406150054,105050,105050
"11418, Richmond Hill, NY",11418,67709.783254788,98086,98086
"11419, South Richmond Hill, NY",11419,71391.48636377,96196,96196
"11420, South Ozone Park, NY",11420,68920.591472813,102290,102290
"11421, Woodhaven, NY",11421,72458.148050746,100178,100178
"11422, Rosedale, NY",11422,89171.112088652,116759,116759
"11423, Hollis, NY",11423,70780.496600853,100090,100090
"11424, Jamaica, NY",11424,,,
"11425, Jamaica, NY",11425,,,
"11426, Bellerose, NY",11426,87848.820115515,120836,120836
"11427, Queens Village, NY",11427,74401.752000937,107565,107565
"11428, Queens Village, NY",11428,73666.442128301,103513,103513
"11429, Queens Village, NY",11429,84744.426879607,108446,108446
"11430, Jamaica, NY",11430,,101820,101820
"11432, Jamaica, NY",11432,55790.070175168,88371,86616.8098
"11433, Jamaica, NY",11433,51470.023764275,77268,77268
"11434, Jamaica, NY",11434,62013.012793777,87373,87373
"11435, Jamaica, NY",11435,63846.373803895,90893,90877.8309
"11436, Jamaica, NY",11436,75053.038670777,96269,96269
"11451, Jamaica, NY",11451,,,
"11691, Far Rockaway, NY",11691,45498.727267057,70091,70028.1663
"11692, Arverne, NY",11692,45704.825848188,73764,73764
"11693, Far Rockaway, NY",11693,59907.163873573,88816,88816
"11694, Rockaway Park, NY",11694,80956.640093775,123060,122292.7837
"11697, Breezy Point, NY",11697,107879.27381419,150661,150661
