GROUP,boro,count,date,day
Female,1,29351,2020-07-07,51
Male,1,30154,2020-07-07,51
Female,2,24133,2020-07-07,51
Male,2,23920,2020-07-07,51
Female,3,12717,2020-07-07,51
Male,3,14436,2020-07-07,51
Female,4,31332,2020-07-07,51
Male,4,33984,2020-07-07,51
Female,5,6694,2020-07-07,51
Male,5,7376,2020-07-07,51
Female,1,29306,2020-07-06,50
Male,1,30116,2020-07-06,50
Female,2,24106,2020-07-06,50
Male,2,23889,2020-07-06,50
Female,3,12688,2020-07-06,50
Male,3,14401,2020-07-06,50
Female,4,31285,2020-07-06,50
Male,4,33944,2020-07-06,50
Female,5,6688,2020-07-06,50
Male,5,7365,2020-07-06,50
Female,1,29283,2020-07-05,49
Male,1,30091,2020-07-05,49
Female,2,24091,2020-07-05,49
Male,2,23868,2020-07-05,49
Female,3,12660,2020-07-05,49
Male,3,14367,2020-07-05,49
Female,4,31261,2020-07-05,49
Male,4,33923,2020-07-05,49
Female,5,6682,2020-07-05,49
Male,5,7362,2020-07-05,49
Female,1,29242,2020-07-04,48
Male,1,30043,2020-07-04,48
Female,2,24062,2020-07-04,48
Male,2,23836,2020-07-04,48
Female,3,12641,2020-07-04,48
Male,3,14341,2020-07-04,48
Female,4,31218,2020-07-04,48
Male,4,33884,2020-07-04,48
Female,5,6674,2020-07-04,48
Male,5,7355,2020-07-04,48
Female,1,29199,2020-07-03,47
Male,1,29989,2020-07-03,47
Female,2,24023,2020-07-03,47
Male,2,23811,2020-07-03,47
Female,3,12614,2020-07-03,47
Male,3,14311,2020-07-03,47
Female,4,31165,2020-07-03,47
Male,4,33833,2020-07-03,47
Female,5,6663,2020-07-03,47
Male,5,7341,2020-07-03,47
Female,1,29140,2020-07-02,46
Male,1,29937,2020-07-02,46
Female,2,23983,2020-07-02,46
Male,2,23775,2020-07-02,46
Female,3,12578,2020-07-02,46
Male,3,14268,2020-07-02,46
Female,4,31094,2020-07-02,46
Male,4,33775,2020-07-02,46
Female,5,6646,2020-07-02,46
Male,5,7322,2020-07-02,46
Female,1,29076,2020-07-01,45
Male,1,29891,2020-07-01,45
Female,2,23942,2020-07-01,45
Male,2,23733,2020-07-01,45
Female,3,12548,2020-07-01,45
Male,3,14242,2020-07-01,45
Female,4,31038,2020-07-01,45
Male,4,33732,2020-07-01,45
Female,5,6639,2020-07-01,45
Male,5,7316,2020-07-01,45
Female,1,28997,2020-06-30,44
Male,1,29833,2020-06-30,44
Female,2,23911,2020-06-30,44
Male,2,23713,2020-06-30,44
Female,3,12519,2020-06-30,44
Male,3,14223,2020-06-30,44
Female,4,30997,2020-06-30,44
Male,4,33688,2020-06-30,44
Female,5,6630,2020-06-30,44
Male,5,7307,2020-06-30,44
Female,1,28891,2020-06-28,42
Male,1,29742,2020-06-28,42
Female,2,23847,2020-06-28,42
Male,2,23675,2020-06-28,42
Female,3,12486,2020-06-28,42
Male,3,14201,2020-06-28,42
Female,4,30938,2020-06-28,42
Male,4,33622,2020-06-28,42
Female,5,6618,2020-06-28,42
Male,5,7296,2020-06-28,42
Female,1,28834,2020-06-27,41
Male,1,29684,2020-06-27,41
Female,2,23818,2020-06-27,41
Male,2,23650,2020-06-27,41
Female,3,12466,2020-06-27,41
Male,3,14175,2020-06-27,41
Female,4,30881,2020-06-27,41
Male,4,33570,2020-06-27,41
Female,5,6609,2020-06-27,41
Male,5,7289,2020-06-27,41
Female,1,28782,2020-06-26,40
Male,1,29633,2020-06-26,40
Female,2,23782,2020-06-26,40
Male,2,23623,2020-06-26,40
Female,3,12432,2020-06-26,40
Male,3,14143,2020-06-26,40
Female,4,30841,2020-06-26,40
Male,4,33533,2020-06-26,40
Female,5,6603,2020-06-26,40
Male,5,7279,2020-06-26,40
Female,1,28734,2020-06-25,39
Male,1,29584,2020-06-25,39
Female,2,23744,2020-06-25,39
Male,2,23582,2020-06-25,39
Female,3,12403,2020-06-25,39
Male,3,14110,2020-06-25,39
Female,4,30768,2020-06-25,39
Male,4,33486,2020-06-25,39
Female,5,6590,2020-06-25,39
Male,5,7264,2020-06-25,39
Female,1,28696,2020-06-24,38
Male,1,29539,2020-06-24,38
Female,2,23710,2020-06-24,38
Male,2,23548,2020-06-24,38
Female,3,12375,2020-06-24,38
Male,3,14075,2020-06-24,38
Female,4,30717,2020-06-24,38
Male,4,33442,2020-06-24,38
Female,5,6582,2020-06-24,38
Male,5,7257,2020-06-24,38
Female,1,28663,2020-06-23,37
Male,1,29502,2020-06-23,37
Female,2,23673,2020-06-23,37
Male,2,23502,2020-06-23,37
Female,3,12351,2020-06-23,37
Male,3,14047,2020-06-23,37
Female,4,30674,2020-06-23,37
Male,4,33403,2020-06-23,37
Female,5,6577,2020-06-23,37
Male,5,7252,2020-06-23,37
Female,1,28612,2020-06-22,36
Male,1,29463,2020-06-22,36
Female,2,23647,2020-06-22,36
Male,2,23469,2020-06-22,36
Female,3,12326,2020-06-22,36
Male,3,14005,2020-06-22,36
Female,4,30617,2020-06-22,36
Male,4,33354,2020-06-22,36
Female,5,6573,2020-06-22,36
Male,5,7248,2020-06-22,36
Female,1,28586,2020-06-21,35
Male,1,29430,2020-06-21,35
Female,2,23620,2020-06-21,35
Male,2,23451,2020-06-21,35
Female,3,12305,2020-06-21,35
Male,3,13975,2020-06-21,35
Female,4,30570,2020-06-21,35
Male,4,33322,2020-06-21,35
Female,5,6565,2020-06-21,35
Male,5,7243,2020-06-21,35
Female,1,28520,2020-06-20,34
Male,1,29344,2020-06-20,34
Female,2,23572,2020-06-20,34
Male,2,23410,2020-06-20,34
Female,3,12267,2020-06-20,34
Male,3,13924,2020-06-20,34
Female,4,30477,2020-06-20,34
Male,4,33221,2020-06-20,34
Female,5,6548,2020-06-20,34
Male,5,7229,2020-06-20,34
Female,1,28476,2020-06-19,33
Male,1,29302,2020-06-19,33
Female,2,23533,2020-06-19,33
Male,2,23381,2020-06-19,33
Female,3,12249,2020-06-19,33
Male,3,13893,2020-06-19,33
Female,4,30432,2020-06-19,33
Male,4,33185,2020-06-19,33
Female,5,6541,2020-06-19,33
Male,5,7221,2020-06-19,33
Female,1,28405,2020-06-18,32
Male,1,29228,2020-06-18,32
Female,2,23494,2020-06-18,32
Male,2,23370,2020-06-18,32
Female,3,12226,2020-06-18,32
Male,3,13862,2020-06-18,32
Female,4,30382,2020-06-18,32
Male,4,33140,2020-06-18,32
Female,5,6532,2020-06-18,32
Male,5,7214,2020-06-18,32
Female,1,28369,2020-06-17,31
Male,1,29185,2020-06-17,31
Female,2,23458,2020-06-17,31
Male,2,23354,2020-06-17,31
Female,3,12203,2020-06-17,31
Male,3,13843,2020-06-17,31
Female,4,30334,2020-06-17,31
Male,4,33087,2020-06-17,31
Female,5,6529,2020-06-17,31
Male,5,7213,2020-06-17,31
Female,1,28296,2020-06-16,30
Male,1,29121,2020-06-16,30
Female,2,23406,2020-06-16,30
Male,2,23307,2020-06-16,30
Female,3,12180,2020-06-16,30
Male,3,13817,2020-06-16,30
Female,4,30261,2020-06-16,30
Male,4,33001,2020-06-16,30
Female,5,6515,2020-06-16,30
Male,5,7207,2020-06-16,30
Female,1,28235,2020-06-15,29
Male,1,29072,2020-06-15,29
Female,2,23373,2020-06-15,29
Male,2,23286,2020-06-15,29
Female,3,12161,2020-06-15,29
Male,3,13802,2020-06-15,29
Female,4,30213,2020-06-15,29
Male,4,32942,2020-06-15,29
Female,5,6506,2020-06-15,29
Male,5,7197,2020-06-15,29
Female,1,28174,2020-06-14,28
Male,1,29004,2020-06-14,28
Female,2,23337,2020-06-14,28
Male,2,23252,2020-06-14,28
Female,3,12124,2020-06-14,28
Male,3,13751,2020-06-14,28
Female,4,30160,2020-06-14,28
Male,4,32883,2020-06-14,28
Female,5,6499,2020-06-14,28
Male,5,7187,2020-06-14,28
Female,1,28116,2020-06-13,27
Male,1,28953,2020-06-13,27
Female,2,23308,2020-06-13,27
Male,2,23216,2020-06-13,27
Female,3,12119,2020-06-13,27
Male,3,13731,2020-06-13,27
Female,4,30112,2020-06-13,27
Male,4,32841,2020-06-13,27
Female,5,6491,2020-06-13,27
Male,5,7178,2020-06-13,27
Female,1,28030,2020-06-12,26
Male,1,28895,2020-06-12,26
Female,2,23265,2020-06-12,26
Male,2,23176,2020-06-12,26
Female,3,12078,2020-06-12,26
Male,3,13696,2020-06-12,26
Female,4,30044,2020-06-12,26
Male,4,32773,2020-06-12,26
Female,5,6485,2020-06-12,26
Male,5,7171,2020-06-12,26
Female,1,27964,2020-06-11,25
Male,1,28833,2020-06-11,25
Female,2,23220,2020-06-11,25
Male,2,23125,2020-06-11,25
Female,3,12049,2020-06-11,25
Male,3,13654,2020-06-11,25
Female,4,29977,2020-06-11,25
Male,4,32709,2020-06-11,25
Female,5,6481,2020-06-11,25
Male,5,7158,2020-06-11,25
Female,1,27911,2020-06-10,24
Male,1,28785,2020-06-10,24
Female,2,23169,2020-06-10,24
Male,2,23091,2020-06-10,24
Female,3,12019,2020-06-10,24
Male,3,13614,2020-06-10,24
Female,4,29925,2020-06-10,24
Male,4,32641,2020-06-10,24
Female,5,6471,2020-06-10,24
Male,5,7150,2020-06-10,24
Female,1,27847,2020-06-09,23
Male,1,28722,2020-06-09,23
Female,2,23111,2020-06-09,23
Male,2,23046,2020-06-09,23
Female,3,11992,2020-06-09,23
Male,3,13575,2020-06-09,23
Female,4,29875,2020-06-09,23
Male,4,32571,2020-06-09,23
Female,5,6462,2020-06-09,23
Male,5,7143,2020-06-09,23
Female,1,27796,2020-06-08,22
Male,1,28666,2020-06-08,22
Female,2,23071,2020-06-08,22
Male,2,23018,2020-06-08,22
Female,3,11974,2020-06-08,22
Male,3,13559,2020-06-08,22
Female,4,29830,2020-06-08,22
Male,4,32505,2020-06-08,22
Female,5,6449,2020-06-08,22
Male,5,7135,2020-06-08,22
Female,1,27726,2020-06-07,21
Male,1,28596,2020-06-07,21
Female,2,23031,2020-06-07,21
Male,2,22981,2020-06-07,21
Female,3,11952,2020-06-07,21
Male,3,13525,2020-06-07,21
Female,4,29762,2020-06-07,21
Male,4,32431,2020-06-07,21
Female,5,6442,2020-06-07,21
Male,5,7125,2020-06-07,21
Female,1,27681,2020-06-06,20
Male,1,28513,2020-06-06,20
Female,2,22975,2020-06-06,20
Male,2,22935,2020-06-06,20
Female,3,11931,2020-06-06,20
Male,3,13497,2020-06-06,20
Female,4,29711,2020-06-06,20
Male,4,32389,2020-06-06,20
Female,5,6434,2020-06-06,20
Male,5,7118,2020-06-06,20
Female,1,27573,2020-06-05,19
Male,1,28421,2020-06-05,19
Female,2,22916,2020-06-05,19
Male,2,22889,2020-06-05,19
Female,3,11900,2020-06-05,19
Male,3,13461,2020-06-05,19
Female,4,29622,2020-06-05,19
Male,4,32304,2020-06-05,19
Female,5,6407,2020-06-05,19
Male,5,7105,2020-06-05,19
Female,1,27493,2020-06-04,18
Male,1,28329,2020-06-04,18
Female,2,22875,2020-06-04,18
Male,2,22842,2020-06-04,18
Female,3,11865,2020-06-04,18
Male,3,13433,2020-06-04,18
Female,4,29542,2020-06-04,18
Male,4,32226,2020-06-04,18
Female,5,6382,2020-06-04,18
Male,5,7094,2020-06-04,18
Female,1,27416,2020-06-03,17
Male,1,28250,2020-06-03,17
Female,2,22814,2020-06-03,17
Male,2,22774,2020-06-03,17
Female,3,11825,2020-06-03,17
Male,3,13393,2020-06-03,17
Female,4,29507,2020-06-03,17
Male,4,32154,2020-06-03,17
Female,5,6369,2020-06-03,17
Male,5,7077,2020-06-03,17
Female,1,27309,2020-06-02,16
Male,1,28131,2020-06-02,16
Female,2,22733,2020-06-02,16
Male,2,22736,2020-06-02,16
Female,3,11769,2020-06-02,16
Male,3,13342,2020-06-02,16
Female,4,29392,2020-06-02,16
Male,4,32052,2020-06-02,16
Female,5,6354,2020-06-02,16
Male,5,7067,2020-06-02,16
Female,1,27290,2020-06-01,15
Male,1,28066,2020-06-01,15
Female,2,22696,2020-06-01,15
Male,2,22719,2020-06-01,15
Female,3,11742,2020-06-01,15
Male,3,13330,2020-06-01,15
Female,4,29352,2020-06-01,15
Male,4,31999,2020-06-01,15
Female,5,6348,2020-06-01,15
Male,5,7061,2020-06-01,15
Female,1,27229,2020-05-31,14
Male,1,28010,2020-05-31,14
Female,2,22665,2020-05-31,14
Male,2,22678,2020-05-31,14
Female,3,11717,2020-05-31,14
Male,3,13316,2020-05-31,14
Female,4,29315,2020-05-31,14
Male,4,31967,2020-05-31,14
Female,5,6347,2020-05-31,14
Male,5,7064,2020-05-31,14
Female,1,27153,2020-05-30,13
Male,1,27870,2020-05-30,13
Female,2,22578,2020-05-30,13
Male,2,22616,2020-05-30,13
Female,3,11685,2020-05-30,13
Male,3,13271,2020-05-30,13
Female,4,29204,2020-05-30,13
Male,4,31903,2020-05-30,13
Female,5,6324,2020-05-30,13
Male,5,7053,2020-05-30,13
Female,1,27029,2020-05-29,12
Male,1,27721,2020-05-29,12
Female,2,22487,2020-05-29,12
Male,2,22520,2020-05-29,12
Female,3,11613,2020-05-29,12
Male,3,13209,2020-05-29,12
Female,4,29096,2020-05-29,12
Male,4,31795,2020-05-29,12
Female,5,6304,2020-05-29,12
Male,5,7031,2020-05-29,12
Female,1,26898,2020-05-28,11
Male,1,27575,2020-05-28,11
Female,2,22373,2020-05-28,11
Male,2,22452,2020-05-28,11
Female,3,11567,2020-05-28,11
Male,3,13150,2020-05-28,11
Female,4,28988,2020-05-28,11
Male,4,31711,2020-05-28,11
Female,5,6282,2020-05-28,11
Male,5,7016,2020-05-28,11
Female,1,26768,2020-05-27,10
Male,1,27410,2020-05-27,10
Female,2,22274,2020-05-27,10
Male,2,22351,2020-05-27,10
Female,3,11512,2020-05-27,10
Male,3,13088,2020-05-27,10
Female,4,28850,2020-05-27,10
Male,4,31597,2020-05-27,10
Female,5,6262,2020-05-27,10
Male,5,6994,2020-05-27,10
Female,1,26683,2020-05-26,9
Male,1,27249,2020-05-26,9
Female,2,22197,2020-05-26,9
Male,2,22284,2020-05-26,9
Female,3,11461,2020-05-26,9
Male,3,13025,2020-05-26,9
Female,4,28748,2020-05-26,9
Male,4,31518,2020-05-26,9
Female,5,6241,2020-05-26,9
Male,5,6975,2020-05-26,9
Female,1,26587,2020-05-25,8
Male,1,27156,2020-05-25,8
Female,2,22143,2020-05-25,8
Male,2,22236,2020-05-25,8
Female,3,11434,2020-05-25,8
Male,3,12993,2020-05-25,8
Female,4,28674,2020-05-25,8
Male,4,31451,2020-05-25,8
Female,5,6220,2020-05-25,8
Male,5,6970,2020-05-25,8
Female,1,26498,2020-05-24,7
Male,1,27063,2020-05-24,7
Female,2,22102,2020-05-24,7
Male,2,22137,2020-05-24,7
Female,3,11389,2020-05-24,7
Male,3,12925,2020-05-24,7
Female,4,28575,2020-05-24,7
Male,4,31365,2020-05-24,7
Female,5,6210,2020-05-24,7
Male,5,6949,2020-05-24,7
Female,1,26375,2020-05-23,6
Male,1,26936,2020-05-23,6
Female,2,22032,2020-05-23,6
Male,2,22022,2020-05-23,6
Female,3,11347,2020-05-23,6
Male,3,12875,2020-05-23,6
Female,4,28462,2020-05-23,6
Male,4,31280,2020-05-23,6
Female,5,6191,2020-05-23,6
Male,5,6924,2020-05-23,6
Female,1,26240,2020-05-22,5
Male,1,26834,2020-05-22,5
Female,2,21954,2020-05-22,5
Male,2,21951,2020-05-22,5
Female,3,11265,2020-05-22,5
Male,3,12818,2020-05-22,5
Female,4,28372,2020-05-22,5
Male,4,31215,2020-05-22,5
Female,5,6178,2020-05-22,5
Male,5,6898,2020-05-22,5
Female,1,26030,2020-05-21,4
Male,1,26625,2020-05-21,4
Female,2,21837,2020-05-21,4
Male,2,21865,2020-05-21,4
Female,3,11166,2020-05-21,4
Male,3,12761,2020-05-21,4
Female,4,28236,2020-05-21,4
Male,4,31067,2020-05-21,4
Female,5,6163,2020-05-21,4
Male,5,6876,2020-05-21,4
Female,1,25944,2020-05-20,3
Male,1,26535,2020-05-20,3
Female,2,21801,2020-05-20,3
Male,2,21836,2020-05-20,3
Female,3,11118,2020-05-20,3
Male,3,12740,2020-05-20,3
Female,4,28141,2020-05-20,3
Male,4,31006,2020-05-20,3
Female,5,6148,2020-05-20,3
Male,5,6863,2020-05-20,3
Female,1,25835,2020-05-19,2
Male,1,26420,2020-05-19,2
Female,2,21736,2020-05-19,2
Male,2,21752,2020-05-19,2
Female,3,11072,2020-05-19,2
Male,3,12693,2020-05-19,2
Female,4,27997,2020-05-19,2
Male,4,30888,2020-05-19,2
Female,5,6133,2020-05-19,2
Male,5,6848,2020-05-19,2
Female,1,25743,2020-05-18,1
Male,1,26324,2020-05-18,1
Female,2,21669,2020-05-18,1
Male,2,21705,2020-05-18,1
Female,3,11033,2020-05-18,1
Male,3,12653,2020-05-18,1
Female,4,27922,2020-05-18,1
Male,4,30797,2020-05-18,1
Female,5,6120,2020-05-18,1
Male,5,6843,2020-05-18,1
